10601,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10601,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10602,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10602,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10603,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10603,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10604,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10604,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10605,22,22,22,22,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10605,30,30,23,23,23,23,23,23,24,31,31,31,31,31,43,43,43,43,49
10606,30,30,23,23,23,23,23,23,24,31,31,31,31,31,43,43,43,43,49
10606,30,30,23,23,23,23,23,23,24,31,31,31,31,31,43,43,43,43,49
10607,30,30,23,23,23,23,23,23,24,31,31,31,31,31,43,43,43,43,49
10607,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10608,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10608,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10609,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10609,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10610,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10610,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10611,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,49
10611,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,49
10612,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,49
10612,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10613,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10613,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10614,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10614,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10615,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10615,30,30,23,23,23,23,23,23,24,31,31,31,31,31,43,43,43,43,49
10616,23,23,23,23,23,23,23,23,24,31,31,31,31,31,43,43,43,43,49
10616,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10617,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10617,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10618,45,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,49
10618,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10619,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10619,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10620,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10620,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10621,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10621,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10622,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10622,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10623,38,31,31,31,31,31,31,31,31,31,31,31,31,31,43,43,43,43,49
10623,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10624,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10624,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10625,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10628,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10629,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
